trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1_26314,19:48:00,19:48:00,37322,1,0,1,
1_26314,20:07:00,20:07:00,37336,2,0,0,
1_26314,20:12:00,20:12:00,37338,3,0,0,
1_26314,20:20:00,20:20:00,37340,4,0,0,
1_26314,20:29:00,20:29:00,37292,5,0,0,
1_26314,20:34:00,20:34:00,37350,6,0,0,
1_26314,20:39:00,20:39:00,37358,7,1,0,
1_26315,05:48:00,05:48:00,37322,1,0,1,
1_26315,06:07:00,06:07:00,37336,2,0,0,
1_26315,06:12:00,06:12:00,37338,3,0,0,
1_26315,06:20:00,06:20:00,37340,4,0,0,
1_26315,06:29:00,06:29:00,37292,5,0,0,
1_26315,06:34:00,06:34:00,37350,6,0,0,
1_26315,06:38:00,06:38:00,37358,7,0,0,
1_26315,06:43:00,06:43:00,37360,8,0,0,
1_26315,06:51:00,06:51:00,37362,9,0,0,
1_26315,07:00:00,07:00:00,37364,10,0,0,
1_26315,07:07:00,07:07:00,37366,11,1,0,
1_26316,07:48:00,07:48:00,37322,1,0,1,
1_26316,08:07:00,08:07:00,37336,2,0,0,
1_26316,08:12:00,08:12:00,37338,3,0,0,
1_26316,08:20:00,08:20:00,37340,4,0,0,
1_26316,08:29:00,08:29:00,37292,5,0,0,
1_26316,08:34:00,08:34:00,37350,6,0,0,
1_26316,08:38:00,08:38:00,37358,7,0,0,
1_26316,08:43:00,08:43:00,37360,8,0,0,
1_26316,08:51:00,08:51:00,37362,9,0,0,
1_26316,09:00:00,09:00:00,37364,10,0,0,
1_26316,09:07:00,09:07:00,37366,11,1,0,
1_26317,06:48:00,06:48:00,37322,1,0,1,
1_26317,07:07:00,07:07:00,37336,2,0,0,
1_26317,07:12:00,07:12:00,37338,3,0,0,
1_26317,07:20:00,07:20:00,37340,4,0,0,
1_26317,07:29:00,07:29:00,37292,5,0,0,
1_26317,07:34:00,07:34:00,37350,6,0,0,
1_26317,07:38:00,07:38:00,37358,7,0,0,
1_26317,07:43:00,07:43:00,37360,8,0,0,
1_26317,07:51:00,07:51:00,37362,9,0,0,
1_26317,08:00:00,08:00:00,37364,10,0,0,
1_26317,08:07:00,08:07:00,37366,11,1,0,
1_26318,18:48:00,18:48:00,37322,1,0,1,
1_26318,19:07:00,19:07:00,37336,2,0,0,
1_26318,19:12:00,19:12:00,37338,3,0,0,
1_26318,19:20:00,19:20:00,37340,4,0,0,
1_26318,19:29:00,19:29:00,37292,5,0,0,
1_26318,19:34:00,19:34:00,37350,6,0,0,
1_26318,19:38:00,19:38:00,37358,7,1,0,
